year,id,state,month,number,date
1998,1,Acre,Janeiro,0,1998-01-01
1999,1,Acre,Janeiro,0,1999-01-01
2000,1,Acre,Janeiro,0,2000-01-01
2001,1,Acre,Janeiro,0,2001-01-01
2002,1,Acre,Janeiro,0,2002-01-01
2003,1,Acre,Janeiro,10,2003-01-01
2004,1,Acre,Janeiro,0,2004-01-01
2005,1,Acre,Janeiro,12,2005-01-01
2006,1,Acre,Janeiro,4,2006-01-01
2007,1,Acre,Janeiro,0,2007-01-01
2008,1,Acre,Janeiro,0,2008-01-01
2009,1,Acre,Janeiro,0,2009-01-01
2010,1,Acre,Janeiro,1,2010-01-01
2011,1,Acre,Janeiro,0,2011-01-01
2012,1,Acre,Janeiro,0,2012-01-01
2013,1,Acre,Janeiro,0,2013-01-01
2014,1,Acre,Janeiro,0,2014-01-01
2015,1,Acre,Janeiro,1,2015-01-01
2016,1,Acre,Janeiro,12,2016-01-01
2017,1,Acre,Janeiro,0,2017-01-01
1998,1,Acre,Fevereiro,0,1998-01-01
1999,1,Acre,Fevereiro,0,1999-01-01
2000,1,Acre,Fevereiro,0,2000-01-01
2001,1,Acre,Fevereiro,0,2001-01-01
2002,1,Acre,Fevereiro,1,2002-01-01
2003,1,Acre,Fevereiro,0,2003-01-01
2004,1,Acre,Fevereiro,3,2004-01-01
2005,1,Acre,Fevereiro,0,2005-01-01
2006,1,Acre,Fevereiro,0,2006-01-01
2007,1,Acre,Fevereiro,5,2007-01-01
2008,1,Acre,Fevereiro,0,2008-01-01
2009,1,Acre,Fevereiro,2,2009-01-01
2010,1,Acre,Fevereiro,0,2010-01-01
2011,1,Acre,Fevereiro,0,2011-01-01
2012,1,Acre,Fevereiro,0,2012-01-01
2013,1,Acre,Fevereiro,0,2013-01-01
2014,1,Acre,Fevereiro,0,2014-01-01
2015,1,Acre,Fevereiro,2,2015-01-01
2016,1,Acre,Fevereiro,5,2016-01-01
2017,1,Acre,Fevereiro,1,2017-01-01
1998,1,Acre,Março,0,1998-01-01
1999,1,Acre,Março,0,1999-01-01
2000,1,Acre,Março,11,2000-01-01
2001,1,Acre,Março,0,2001-01-01
2002,1,Acre,Março,0,2002-01-01
2003,1,Acre,Março,0,2003-01-01
2004,1,Acre,Março,0,2004-01-01
2005,1,Acre,Março,3,2005-01-01
2006,1,Acre,Março,0,2006-01-01
2007,1,Acre,Março,2,2007-01-01
2008,1,Acre,Março,0,2008-01-01
2009,1,Acre,Março,1,2009-01-01
2010,1,Acre,Março,0,2010-01-01
2011,1,Acre,Março,0,2011-01-01
2012,1,Acre,Março,1,2012-01-01
2013,1,Acre,Março,2,2013-01-01
2014,1,Acre,Março,1,2014-01-01
2015,1,Acre,Março,2,2015-01-01
2016,1,Acre,Março,0,2016-01-01
2017,1,Acre,Março,0,2017-01-01
1998,1,Acre,Abril,0,1998-01-01
1999,1,Acre,Abril,0,1999-01-01
2000,1,Acre,Abril,1,2000-01-01
2001,1,Acre,Abril,0,2001-01-01
2002,1,Acre,Abril,0,2002-01-01
2003,1,Acre,Abril,1,2003-01-01
2004,1,Acre,Abril,2,2004-01-01
2005,1,Acre,Abril,1,2005-01-01
2006,1,Acre,Abril,0,2006-01-01
2007,1,Acre,Abril,0,2007-01-01
2008,1,Acre,Abril,0,2008-01-01
